127.0.0.1 - - [05/Dec/2017:22:01:10 +0900] "GET / HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:11:49 +0900] "GET /course/ HTTP/1.1" 200 899
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:11:50 +0900] "GET /course/viewCourse/showCourseByDivision HTTP/1.1" 200 1343
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:11:50 +0900] "GET /course/resources/css/bootstrap.css HTTP/1.1" 200 104
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:11:52 +0900] "GET /course/ HTTP/1.1" 200 899
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:11:53 +0900] "GET /course/viewCourse/showCourseBySemester HTTP/1.1" 200 1948
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:11:53 +0900] "GET /course/resources/css/bootstrap.css HTTP/1.1" 200 104
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:11:55 +0900] "GET /course/ HTTP/1.1" 200 899
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:12:28 +0900] "GET /course/viewCourse/showCourseByDivision HTTP/1.1" 200 1354
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:12:28 +0900] "GET /course/resources/css/bootstrap.css HTTP/1.1" 200 104
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:12:51 +0900] "GET /course/viewCourse/showCourseByDivision HTTP/1.1" 200 1448
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:12:51 +0900] "GET /course/resources/css/bootstrap.css HTTP/1.1" 200 104
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:12:52 +0900] "GET /course/viewCourse/showCourseByDivision HTTP/1.1" 200 1448
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:12:52 +0900] "GET /course/resources/css/bootstrap.css HTTP/1.1" 200 104
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:13:21 +0900] "GET /course/viewCourse/showCourseByDivision HTTP/1.1" 200 1363
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:13:21 +0900] "GET /course/resources/css/bootstrap.css HTTP/1.1" 200 104
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:13:37 +0900] "GET /course/viewCourse/showCourseByDivision HTTP/1.1" 200 1365
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:13:37 +0900] "GET /course/resources/css/bootstrap.css HTTP/1.1" 200 104
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:31:35 +0900] "GET /course/viewCourse/showCourseByDivision HTTP/1.1" 200 1365
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:31:35 +0900] "GET /course/resources/css/bootstrap.css HTTP/1.1" 200 104
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:31:39 +0900] "GET /course/resources/css/bootstrap.css HTTP/1.1" 200 104
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:35:13 +0900] "GET /course/viewCourse/showCourseByDivision HTTP/1.1" 200 1376
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:35:13 +0900] "GET /course/resources/css/bootstrap.css HTTP/1.1" 200 104
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:35:16 +0900] "GET /course/resources/css/bootstrap.css HTTP/1.1" 200 104
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:35:36 +0900] "GET /course/viewCourse/showCourseByDivision HTTP/1.1" 200 1399
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:35:36 +0900] "GET /course/resources/css/bootstrap.css HTTP/1.1" 200 104
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:35:48 +0900] "GET /course/viewCourse/showCourseByDivision HTTP/1.1" 200 1397
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:35:48 +0900] "GET /course/resources/css/bootstrap.css HTTP/1.1" 200 104
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:35:50 +0900] "GET /course/viewCourse/showCourseByDivision HTTP/1.1" 200 1397
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:35:50 +0900] "GET /course/resources/css/bootstrap.css HTTP/1.1" 200 104
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:35:52 +0900] "GET /course/resources/css/bootstrap.css HTTP/1.1" 200 104
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:35:59 +0900] "GET /course/viewCourse/showCourseByDivision HTTP/1.1" 200 1386
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:35:59 +0900] "GET /course/resources/css/bootstrap.css HTTP/1.1" 200 104
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:36:02 +0900] "GET /course/resources/css/bootstrap.css HTTP/1.1" 200 104
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:36:23 +0900] "GET /course/viewCourse/showCourseByDivision HTTP/1.1" 200 1386
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:36:23 +0900] "GET /course/resources/css/bootstrap.css HTTP/1.1" 200 104
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:36:31 +0900] "GET /course/viewCourse/showCourseByDivision HTTP/1.1" 200 1386
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:36:31 +0900] "GET /course/resources/css/bootstrap.css HTTP/1.1" 200 104
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:36:40 +0900] "GET /course/viewCourse/showCourseByDivision HTTP/1.1" 200 1388
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:36:40 +0900] "GET /course/resources/css/bootstrap.css HTTP/1.1" 200 104
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:36:41 +0900] "GET /course/viewCourse/showCourseByDivision HTTP/1.1" 200 1388
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:36:41 +0900] "GET /course/resources/css/bootstrap.css HTTP/1.1" 200 104
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:37:40 +0900] "GET /course/viewCourse/showCourseByDivision HTTP/1.1" 200 1389
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:37:40 +0900] "GET /course/resources/css/bootstrap.css HTTP/1.1" 200 104
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:37:56 +0900] "GET /course/viewCourse/showCourseByDivision HTTP/1.1" 200 1378
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:37:57 +0900] "GET /course/resources/css/bootstrap.css HTTP/1.1" 200 104
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:38:00 +0900] "GET /course/resources/css/bootstrap.css HTTP/1.1" 200 104
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:38:27 +0900] "GET /course/viewCourse/showCourseByDivision HTTP/1.1" 200 1376
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:38:27 +0900] "GET /course/resources/css/bootstrap.css HTTP/1.1" 200 104
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:38:33 +0900] "GET /course/viewCourse/showCourseByDivision HTTP/1.1" 200 1379
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:38:33 +0900] "GET /course/resources/css/bootstrap.css HTTP/1.1" 200 104
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:38:44 +0900] "GET /course/viewCourse/showCourseByDivision HTTP/1.1" 200 1377
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:38:44 +0900] "GET /course/resources/css/bootstrap.css HTTP/1.1" 200 104
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:39:45 +0900] "GET /course/viewCourse/showCourseByDivision HTTP/1.1" 200 1377
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:39:45 +0900] "GET /course/resources/css/bootstrap.css HTTP/1.1" 200 104
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:39:47 +0900] "GET /course/ HTTP/1.1" 200 899
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:39:48 +0900] "GET /course/viewCourse/createCourse HTTP/1.1" 200 1965
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:39:48 +0900] "GET /course/resources/css/main.css HTTP/1.1" 200 521
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:39:49 +0900] "GET /course/ HTTP/1.1" 200 899
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:39:50 +0900] "GET /course/viewCourse/showCourseByNextSemester HTTP/1.1" 200 1580
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:39:50 +0900] "GET /course/resources/css/bootstrap.css HTTP/1.1" 200 104
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:40:05 +0900] "GET /course/viewCourse/showCourseByNextSemester HTTP/1.1" 200 1580
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:40:05 +0900] "GET /course/resources/css/bootstrap.css HTTP/1.1" 200 104
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:40:06 +0900] "GET /course/viewCourse/showCourseByNextSemester HTTP/1.1" 200 1580
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:40:06 +0900] "GET /course/resources/css/bootstrap.css HTTP/1.1" 200 104
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:40:23 +0900] "GET /course/viewCourse/showCourseByNextSemester HTTP/1.1" 200 1592
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:40:23 +0900] "GET /course/resources/css/bootstrap.css HTTP/1.1" 200 104
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:40:34 +0900] "GET /course/viewCourse/showCourseByNextSemester HTTP/1.1" 200 1592
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:40:34 +0900] "GET /course/resources/css/bootstrap.css HTTP/1.1" 200 104
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:41:59 +0900] "GET /course/viewCourse/showCourseByNextSemester HTTP/1.1" 200 1618
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:41:59 +0900] "GET /course/resources/css/bootstrap.css HTTP/1.1" 200 196
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:42:03 +0900] "GET /course/ HTTP/1.1" 200 899
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:42:05 +0900] "GET /course/viewCourse/showCourseBySemester HTTP/1.1" 200 2001
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:42:05 +0900] "GET /course/resources/css/bootstrap.css HTTP/1.1" 200 196
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:42:07 +0900] "GET /course/ HTTP/1.1" 200 899
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:42:29 +0900] "GET /course/ HTTP/1.1" 200 899
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:42:31 +0900] "GET /course/viewCourse/showCourseBySemester HTTP/1.1" 200 1830
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:42:31 +0900] "GET /course/resources/css/bootstrap.css HTTP/1.1" 200 196
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:42:33 +0900] "GET /course/ HTTP/1.1" 200 899
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:46:43 +0900] "GET /course/viewCourse/showCourseByDivision HTTP/1.1" 200 1377
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:46:43 +0900] "GET /course/resources/css/bootstrap.css HTTP/1.1" 200 196
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:46:45 +0900] "GET /course/ HTTP/1.1" 200 899
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:51:50 +0900] "GET /course/ HTTP/1.1" 200 1321
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:51:50 +0900] "GET /course/resources/css/bootstrap.css HTTP/1.1" 200 196
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:51:57 +0900] "GET /course/viewCourse/showCourseBySemester HTTP/1.1" 200 1830
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:51:57 +0900] "GET /course/resources/css/bootstrap.css HTTP/1.1" 200 196
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:52:00 +0900] "GET /course/ HTTP/1.1" 200 1321
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:52:00 +0900] "GET /course/resources/css/bootstrap.css HTTP/1.1" 200 196
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:52:01 +0900] "GET /course/viewCourse/showCourseByDivision HTTP/1.1" 200 1377
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:52:01 +0900] "GET /course/resources/css/bootstrap.css HTTP/1.1" 200 196
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:52:03 +0900] "GET /course/ HTTP/1.1" 200 1321
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:52:03 +0900] "GET /course/resources/css/bootstrap.css HTTP/1.1" 200 196
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:52:03 +0900] "GET /course/viewCourse/createCourse HTTP/1.1" 200 1965
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:52:03 +0900] "GET /course/resources/css/main.css HTTP/1.1" 200 521
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:52:05 +0900] "GET /course/ HTTP/1.1" 200 1321
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:52:05 +0900] "GET /course/resources/css/bootstrap.css HTTP/1.1" 200 196
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:54:36 +0900] "GET /course/ HTTP/1.1" 200 1356
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:54:36 +0900] "GET /course/resources/css/bootstrap.css HTTP/1.1" 200 196
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:54:38 +0900] "POST /course/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:54:38 +0900] "GET /course/login?logout HTTP/1.1" 200 1807
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:54:38 +0900] "GET /course/resources/css/bootstrap.css HTTP/1.1" 200 196
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:54:42 +0900] "GET /course HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:54:42 +0900] "GET /course/ HTTP/1.1" 200 1242
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:54:42 +0900] "GET /course/resources/css/bootstrap.css HTTP/1.1" 200 196
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:54:43 +0900] "GET /course/viewCourse/createCourse HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:54:43 +0900] "GET /course/login HTTP/1.1" 200 1707
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:54:43 +0900] "GET /course/resources/css/bootstrap.css HTTP/1.1" 200 196
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:55:00 +0900] "GET /course/login HTTP/1.1" 200 1617
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:55:00 +0900] "GET /course/resources/css/bootstrap.css HTTP/1.1" 200 196
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:55:01 +0900] "GET /course/login HTTP/1.1" 200 1617
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:55:01 +0900] "GET /course/resources/css/bootstrap.css HTTP/1.1" 200 196
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:55:10 +0900] "GET /course/login HTTP/1.1" 200 1680
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:55:10 +0900] "GET /course/resources/css/bootstrap.css HTTP/1.1" 200 196
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:55:47 +0900] "GET /course/login HTTP/1.1" 200 1725
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:55:47 +0900] "GET /course/resources/css/bootstrap.css HTTP/1.1" 200 196
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:55:56 +0900] "GET /course/login HTTP/1.1" 200 1725
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:55:56 +0900] "GET /course/resources/css/bootstrap.css HTTP/1.1" 200 196
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:56:10 +0900] "GET /course/login HTTP/1.1" 200 1725
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:56:10 +0900] "GET /course/resources/css/bootstrap.css HTTP/1.1" 200 196
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:56:17 +0900] "GET /course/login HTTP/1.1" 200 1725
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:56:17 +0900] "GET /course/resources/css/bootstrap.css HTTP/1.1" 200 196
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:56:18 +0900] "GET /course/login HTTP/1.1" 200 1725
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:56:18 +0900] "GET /course/resources/css/bootstrap.css HTTP/1.1" 200 196
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:56:49 +0900] "GET /course/login HTTP/1.1" 200 1725
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:56:49 +0900] "GET /course/resources/css/bootstrap.css HTTP/1.1" 200 196
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:57:00 +0900] "GET /course/login HTTP/1.1" 200 1727
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:57:01 +0900] "GET /course/resources/css/bootstrap.css HTTP/1.1" 200 196
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:57:06 +0900] "POST /course/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:57:06 +0900] "GET /course/viewCourse/createCourse HTTP/1.1" 200 1965
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:57:06 +0900] "GET /course/resources/css/main.css HTTP/1.1" 200 521
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:57:08 +0900] "GET /course/ HTTP/1.1" 200 1356
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:57:08 +0900] "GET /course/resources/css/bootstrap.css HTTP/1.1" 200 196
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:57:09 +0900] "GET /course/viewCourse/showCourseByDivision HTTP/1.1" 200 1294
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:57:09 +0900] "GET /course/resources/css/bootstrap.css HTTP/1.1" 200 196
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:58:08 +0900] "GET /course/viewCourse/showCourseByDivision HTTP/1.1" 200 1294
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:58:08 +0900] "GET /course/resources/css/bootstrap.css HTTP/1.1" 200 196
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:58:19 +0900] "GET /course/ HTTP/1.1" 200 1356
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:58:19 +0900] "GET /course/resources/css/bootstrap.css HTTP/1.1" 200 196
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:58:54 +0900] "GET /course/viewCourse/showCourseByDivision HTTP/1.1" 200 1330
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:58:54 +0900] "GET /course/resources/css/bootstrap.css HTTP/1.1" 200 196
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:58:55 +0900] "GET /course/ HTTP/1.1" 200 1356
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:58:55 +0900] "GET /course/resources/css/bootstrap.css HTTP/1.1" 200 196
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:58:56 +0900] "GET /course/viewCourse/showCourseByNextSemester HTTP/1.1" 200 1545
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:58:57 +0900] "GET /course/resources/css/bootstrap.css HTTP/1.1" 200 196
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:58:59 +0900] "GET /course/ HTTP/1.1" 200 1356
0:0:0:0:0:0:0:1 - - [05/Dec/2017:22:58:59 +0900] "GET /course/resources/css/bootstrap.css HTTP/1.1" 200 196
